campaign,symbol,period,config,model,trades,net_profit,profit_factor,expectancy,win_rate,avg_win,avg_loss,max_dd,equity_dd,recovery,sharpe,deals,runtime_s,error
2026-07-20 20:00:32,GBPUSD,2026.01.01-2026.07.08,G0_raw_bin,1,50,-369.39,0.76,-7.39,29 (58.00%),40.74,-73.85,621.65 (6.09%),682.23 (6.66%),-0.54,-3.64,88,8757,
2026-07-20 20:00:32,GBPUSD,2026.01.01-2026.07.08,G5_session_london,1,24,-443.17,0.57,-18.47,11 (45.83%),52.74,-78.71,1 023.29 (9.67%),1 063.38 (10.01%),-0.42,-5.00,43,6409,
2026-07-20 20:00:32,GBPUSD,2026.01.01-2026.07.08,G6_session_ny,1,73,-529.28,0.78,-7.25,42 (57.53%),43.91,-76.56,986.19 (9.43%),1 052.33 (10.00%),-0.50,-2.40,128,6367,
2026-07-20 20:00:32,GBPUSD,2026.01.01-2026.07.08,G1_adx_gate_on,1,81,-280.17,0.88,-3.46,51 (62.96%),39.57,-76.60,603.67 (5.87%),690.25 (6.68%),-0.41,-1.37,140,6763,
2026-07-20 20:00:32,GBPUSD,2026.01.01-2026.07.08,G2_vol_scaling_on,1,98,127.77,1.06,1.30,65 (66.33%),35.15,-65.36,565.99 (5.45%),640.24 (6.14%),0.20,0.65,168,6540,
2026-07-20 20:00:32,GBPUSD,2026.01.01-2026.07.08,G3_no_retest_limit,1,95,-204.65,0.92,-2.15,60 (63.16%),40.00,-74.42,777.51 (7.55%),844.66 (8.18%),-0.24,-0.90,164,8906,
2026-07-20 20:00:32,GBPUSD,2026.01.01-2026.07.08,G4_no_friday_flatten,1,99,123.29,1.04,1.25,66 (66.67%),44.43,-85.13,708.22 (6.70%),818.44 (7.71%),0.15,0.44,166,4907,
2026-07-21 09:31:29,XAGUSD,2026.01.01-2026.07.08,S0_baseline,1,50,444.29,1.43,8.89,31 (62.00%),47.96,-54.87,362.40 (3.58%),404.70 (3.99%),1.10,6.40,92,11062,
2026-07-21 09:31:29,XAGUSD,2026.01.01-2026.07.08,S1_adx_gate_on,1,37,407.34,1.57,11.01,24 (64.86%),46.89,-55.22,337.00 (3.33%),372.90 (3.69%),1.09,8.00,67,5864,
2026-07-21 09:31:29,XAGUSD,2026.01.01-2026.07.08,S2_vol_scaling_on,1,48,287.09,1.28,5.98,29 (60.42%),45.85,-54.87,362.40 (3.58%),404.70 (3.99%),0.71,4.48,88,5796,
2026-07-21 09:31:29,XAGUSD,2026.01.01-2026.07.08,S3_no_retest_limit,1,50,305.22,1.25,6.10,30 (60.00%),50.16,-59.99,375.10 (3.70%),444.20 (4.36%),0.69,3.93,92,8579,
2026-07-21 09:31:29,XAGUSD,2026.01.01-2026.07.08,S4_no_friday_flatten,1,50,371.13,1.33,7.42,31 (62.00%),47.96,-58.72,362.40 (3.58%),404.70 (3.99%),0.92,5.03,92,7126,
2026-07-21 20:12:02,EURUSD,2025.07.01-2025.12.31,E3_adx_gate_on,1,81,488.26,1.23,6.03,56 (69.14%),46.04,-83.61,480.77 (4.55%),581.98 (5.49%),0.84,2.46,136,6973,
2026-07-21 20:12:02,EURUSD,2025.07.01-2025.12.31,E4_vol_scaling_on,1,109,505.06,1.22,4.63,75 (68.81%),37.49,-67.84,323.94 (3.14%),407.60 (3.94%),1.24,2.23,183,9795,
2026-07-21 20:12:02,EURUSD,2025.07.01-2025.12.31,E5_no_retest_limit,1,103,532.67,1.21,5.17,72 (69.90%),41.87,-80.05,429.65 (4.30%),541.92 (5.38%),0.98,2.16,172,10005,
2026-07-21 20:12:02,EURUSD,2025.07.01-2025.12.31,E6_no_friday_flatten,1,,,,,,,,,,,,,94,no report - see terminal log tail above
2026-07-21 20:12:02,EURUSD,2025.07.01-2025.12.31,E7_session_london,1,,,,,,,,,,,,,110,no report - see terminal log tail above
2026-07-21 20:12:02,EURUSD,2025.07.01-2025.12.31,E8_session_ny,1,,,,,,,,,,,,,108,no report - see terminal log tail above
2026-07-22 07:25:41,EURUSD,2025.07.01-2025.12.31,E6_no_friday_flatten,1,116,712.00,1.25,6.14,81 (69.83%),43.96,-81.40,392.69 (3.92%),499.58 (4.96%),1.43,2.56,192,11053,
2026-07-22 10:30:25,EURUSD,2025.07.01-2025.12.31,E7_session_london,1,98,-828.16,0.75,-8.45,57 (58.16%),43.06,-80.07,1 013.65 (9.95%),1 028.07 (10.08%),-0.81,-5.00,168,7116,
2026-07-22 12:30:08,EURUSD,2025.07.01-2025.12.31,E8_session_ny,1,99,606.54,1.24,6.13,69 (69.70%),45.52,-84.49,257.38 (2.43%),325.03 (3.07%),1.87,2.45,167,11451,
2026-07-22 16:41:23,EURUSD,2025.07.01-2025.12.31,E9_eur_tuned,1,78,836.00,1.60,10.72,57 (73.08%),39.22,-66.64,433.59 (3.96%),491.79 (4.47%),1.70,5.29,128,12597,
2026-07-22 20:11:26,XAGUSD,2026.01.01-2026.07.08,S5_silver_tuned,1,37,407.34,1.57,11.01,24 (64.86%),46.89,-55.22,337.00 (3.33%),372.90 (3.69%),1.09,8.00,67,14001,
2026-07-23 00:04:58,GBPUSD,2026.01.01-2026.07.08,G7_gbp_tuned,1,98,127.77,1.06,1.30,65 (66.33%),35.15,-65.36,565.99 (5.45%),640.24 (6.14%),0.20,0.65,168,11045,
2026-07-23 05:48:55,EURUSD,2025.07.01-2025.12.31,E9_eur_tuned,4,79,739.17,1.53,9.36,58 (73.42%),36.91,-66.75,447.94 (4.12%),503.92 (4.61%),1.47,4.63,129,8581,
2026-07-23 08:12:15,EURUSD,2026.01.01-2026.07.08,E9_eur_tuned,4,70,-335.25,0.81,-4.79,44 (62.86%),33.42,-69.46,582.25 (5.73%),653.54 (6.43%),-0.51,-3.17,118,10646,
